Feature,Importance
PdDistrict_TENDERLOIN,0.1047223
PdDistrict_BAYVIEW,0.05312769
PdDistrict_NORTHERN,0.05271046
PdDistrict_MISSION,0.049094766
GeoCluster,0.04253579
PdDistrict_SOUTHERN,0.041322656
PdDistrict_INGLESIDE,0.037908603
HourBlock_Morning,0.037270717
DistanceFromDowntown_km,0.036729913
HourBlock_Afternoon,0.035923317
Hour,0.03425099
PdDistrict_PARK,0.03222821
HourBlock_Evening,0.031744327
PdDistrict_RICHMOND,0.031674802
PdDistrict_CENTRAL,0.031215694
Season_Winter,0.03068484
Season_Spring,0.030672673
DayOfWeek_Num,0.030440765
Season_Summer,0.030063076
Season_Fall,0.02980362
DayOfWeek_Saturday,0.029188959
PdDistrict_TARAVAL,0.028638326
Month,0.028327497
DayOfWeek_Thursday,0.027794212
DayOfWeek_Tuesday,0.027364342
DayOfWeek_Wednesday,0.027342848
DayOfWeek_Friday,0.02721856
HourBlock_Night,0.0
IsWeekend,0.0
HourBlock_Late Night,0.0
DayOfWeek_Monday,0.0
DayOfWeek_Sunday,0.0
